# Force βfλ, Rxy^2
3.3243e-01,    6.3358e-01
3.3551e-01,    6.3302e-01
3.3861e-01,    6.3245e-01
3.4175e-01,    6.3186e-01
3.4491e-01,    6.3127e-01
3.4811e-01,    6.3067e-01
3.5133e-01,    6.3006e-01
3.5458e-01,    6.2944e-01
3.5787e-01,    6.2881e-01
3.6118e-01,    6.2818e-01
3.6452e-01,    6.2753e-01
3.6790e-01,    6.2687e-01
3.7131e-01,    6.2620e-01
3.7474e-01,    6.2553e-01
3.7821e-01,    6.2484e-01
3.8171e-01,    6.2414e-01
3.8525e-01,    6.2343e-01
3.8882e-01,    6.2272e-01
3.9242e-01,    6.2199e-01
3.9605e-01,    6.2125e-01
3.9972e-01,    6.2050e-01
4.0342e-01,    6.1974e-01
4.0715e-01,    6.1896e-01
4.1092e-01,    6.1818e-01
4.1473e-01,    6.1739e-01
4.1857e-01,    6.1658e-01
4.2244e-01,    6.1576e-01
4.2635e-01,    6.1494e-01
4.3030e-01,    6.1410e-01
4.3428e-01,    6.1324e-01
4.3830e-01,    6.1238e-01
4.4236e-01,    6.1150e-01
4.4646e-01,    6.1062e-01
4.5059e-01,    6.0972e-01
4.5476e-01,    6.0880e-01
4.5897e-01,    6.0788e-01
4.6322e-01,    6.0694e-01
4.6751e-01,    6.0600e-01
4.7184e-01,    6.0503e-01
4.7621e-01,    6.0406e-01
4.8062e-01,    6.0307e-01
4.8507e-01,    6.0207e-01
4.8956e-01,    6.0106e-01
4.9409e-01,    6.0003e-01
4.9867e-01,    5.9899e-01
5.0328e-01,    5.9794e-01
5.0794e-01,    5.9688e-01
5.1265e-01,    5.9580e-01
5.1739e-01,    5.9471e-01
5.2218e-01,    5.9360e-01
5.2702e-01,    5.9248e-01
5.3190e-01,    5.9135e-01
5.3682e-01,    5.9020e-01
5.4179e-01,    5.8904e-01
5.4681e-01,    5.8787e-01
5.5187e-01,    5.8668e-01
5.5698e-01,    5.8548e-01
5.6214e-01,    5.8426e-01
5.6734e-01,    5.8303e-01
5.7260e-01,    5.8179e-01
5.7790e-01,    5.8053e-01
5.8325e-01,    5.7926e-01
5.8865e-01,    5.7797e-01
5.9410e-01,    5.7667e-01
5.9960e-01,    5.7536e-01
6.0515e-01,    5.7403e-01
6.1075e-01,    5.7269e-01
6.1641e-01,    5.7133e-01
6.2212e-01,    5.6996e-01
6.2788e-01,    5.6857e-01
6.3369e-01,    5.6717e-01
6.3956e-01,    5.6576e-01
6.4548e-01,    5.6433e-01
6.5145e-01,    5.6289e-01
6.5749e-01,    5.6143e-01
6.6357e-01,    5.5996e-01
6.6972e-01,    5.5848e-01
6.7592e-01,    5.5698e-01
6.8218e-01,    5.5546e-01
6.8849e-01,    5.5393e-01
6.9487e-01,    5.5239e-01
7.0130e-01,    5.5084e-01
7.0779e-01,    5.4927e-01
7.1435e-01,    5.4768e-01
7.2096e-01,    5.4609e-01
7.2764e-01,    5.4447e-01
7.3437e-01,    5.4285e-01
7.4117e-01,    5.4121e-01
7.4803e-01,    5.3956e-01
7.5496e-01,    5.3789e-01
7.6195e-01,    5.3621e-01
7.6900e-01,    5.3452e-01
7.7612e-01,    5.3281e-01
7.8331e-01,    5.3109e-01
7.9056e-01,    5.2936e-01
7.9788e-01,    5.2762e-01
8.0527e-01,    5.2586e-01
8.1273e-01,    5.2409e-01
8.2025e-01,    5.2230e-01
8.2784e-01,    5.2051e-01
8.3551e-01,    5.1870e-01
8.4324e-01,    5.1688e-01
8.5105e-01,    5.1505e-01
8.5893e-01,    5.1320e-01
8.6688e-01,    5.1135e-01
8.7491e-01,    5.0948e-01
8.8301e-01,    5.0760e-01
8.9119e-01,    5.0571e-01
8.9944e-01,    5.0381e-01
9.0777e-01,    5.0189e-01
9.1617e-01,    4.9997e-01
9.2465e-01,    4.9803e-01
9.3321e-01,    4.9609e-01
9.4185e-01,    4.9413e-01
9.5057e-01,    4.9217e-01
