# Force βfL, Extension z/L, Persistence Length λ
5.0071e+00,    9.9927e-02,    3.1250e-02
5.0534e+00,    1.0083e-01,    3.1250e-02
5.1002e+00,    1.0174e-01,    3.1250e-02
5.1474e+00,    1.0266e-01,    3.1250e-02
5.1951e+00,    1.0359e-01,    3.1250e-02
5.2432e+00,    1.0453e-01,    3.1250e-02
5.2918e+00,    1.0547e-01,    3.1250e-02
5.3407e+00,    1.0642e-01,    3.1250e-02
5.3902e+00,    1.0738e-01,    3.1250e-02
5.4401e+00,    1.0835e-01,    3.1250e-02
5.4905e+00,    1.0933e-01,    3.1250e-02
5.5413e+00,    1.1031e-01,    3.1250e-02
5.5926e+00,    1.1131e-01,    3.1250e-02
5.6444e+00,    1.1231e-01,    3.1250e-02
5.6966e+00,    1.1332e-01,    3.1250e-02
5.7494e+00,    1.1434e-01,    3.1250e-02
5.8026e+00,    1.1537e-01,    3.1250e-02
5.8563e+00,    1.1640e-01,    3.1250e-02
5.9106e+00,    1.1745e-01,    3.1250e-02
5.9653e+00,    1.1850e-01,    3.1250e-02
6.0205e+00,    1.1956e-01,    3.1250e-02
6.0763e+00,    1.2064e-01,    3.1250e-02
6.1325e+00,    1.2172e-01,    3.1250e-02
6.1893e+00,    1.2281e-01,    3.1250e-02
6.2466e+00,    1.2390e-01,    3.1250e-02
6.3044e+00,    1.2501e-01,    3.1250e-02
6.3628e+00,    1.2613e-01,    3.1250e-02
6.4217e+00,    1.2725e-01,    3.1250e-02
6.4812e+00,    1.2839e-01,    3.1250e-02
6.5412e+00,    1.2954e-01,    3.1250e-02
6.6018e+00,    1.3069e-01,    3.1250e-02
6.6629e+00,    1.3185e-01,    3.1250e-02
6.7246e+00,    1.3303e-01,    3.1250e-02
6.7868e+00,    1.3421e-01,    3.1250e-02
6.8497e+00,    1.3540e-01,    3.1250e-02
6.9131e+00,    1.3660e-01,    3.1250e-02
6.9771e+00,    1.3782e-01,    3.1250e-02
7.0417e+00,    1.3904e-01,    3.1250e-02
7.1069e+00,    1.4027e-01,    3.1250e-02
7.1727e+00,    1.4151e-01,    3.1250e-02
7.2391e+00,    1.4276e-01,    3.1250e-02
7.3061e+00,    1.4402e-01,    3.1250e-02
7.3738e+00,    1.4530e-01,    3.1250e-02
7.4420e+00,    1.4658e-01,    3.1250e-02
7.5109e+00,    1.4787e-01,    3.1250e-02
7.5805e+00,    1.4917e-01,    3.1250e-02
7.6507e+00,    1.5048e-01,    3.1250e-02
7.7215e+00,    1.5181e-01,    3.1250e-02
7.7930e+00,    1.5314e-01,    3.1250e-02
7.8651e+00,    1.5448e-01,    3.1250e-02
7.9380e+00,    1.5584e-01,    3.1250e-02
8.0115e+00,    1.5720e-01,    3.1250e-02
8.0856e+00,    1.5858e-01,    3.1250e-02
8.1605e+00,    1.5996e-01,    3.1250e-02
8.2361e+00,    1.6136e-01,    3.1250e-02
8.3123e+00,    1.6277e-01,    3.1250e-02
8.3893e+00,    1.6418e-01,    3.1250e-02
8.4669e+00,    1.6561e-01,    3.1250e-02
8.5453e+00,    1.6705e-01,    3.1250e-02
8.6245e+00,    1.6850e-01,    3.1250e-02
8.7043e+00,    1.6996e-01,    3.1250e-02
8.7849e+00,    1.7144e-01,    3.1250e-02
8.8662e+00,    1.7292e-01,    3.1250e-02
8.9483e+00,    1.7441e-01,    3.1250e-02
9.0312e+00,    1.7592e-01,    3.1250e-02
9.1148e+00,    1.7744e-01,    3.1250e-02
9.1992e+00,    1.7896e-01,    3.1250e-02
9.2844e+00,    1.8050e-01,    3.1250e-02
9.3703e+00,    1.8205e-01,    3.1250e-02
9.4571e+00,    1.8361e-01,    3.1250e-02
9.5446e+00,    1.8519e-01,    3.1250e-02
9.6330e+00,    1.8677e-01,    3.1250e-02
9.7222e+00,    1.8837e-01,    3.1250e-02
9.8122e+00,    1.8997e-01,    3.1250e-02
9.9031e+00,    1.9159e-01,    3.1250e-02
9.9947e+00,    1.9322e-01,    3.1250e-02
1.0087e+01,    1.9486e-01,    3.1250e-02
1.0181e+01,    1.9651e-01,    3.1250e-02
1.0275e+01,    1.9818e-01,    3.1250e-02
1.0370e+01,    1.9985e-01,    3.1250e-02
1.0466e+01,    2.0154e-01,    3.1250e-02
1.0563e+01,    2.0324e-01,    3.1250e-02
1.0661e+01,    2.0495e-01,    3.1250e-02
1.0759e+01,    2.0667e-01,    3.1250e-02
1.0859e+01,    2.0840e-01,    3.1250e-02
1.0960e+01,    2.1014e-01,    3.1250e-02
1.1061e+01,    2.1190e-01,    3.1250e-02
1.1164e+01,    2.1367e-01,    3.1250e-02
1.1267e+01,    2.1545e-01,    3.1250e-02
1.1371e+01,    2.1724e-01,    3.1250e-02
1.1476e+01,    2.1904e-01,    3.1250e-02
1.1583e+01,    2.2085e-01,    3.1250e-02
1.1690e+01,    2.2268e-01,    3.1250e-02
1.1798e+01,    2.2451e-01,    3.1250e-02
1.1907e+01,    2.2636e-01,    3.1250e-02
1.2018e+01,    2.2822e-01,    3.1250e-02
1.2129e+01,    2.3009e-01,    3.1250e-02
1.2241e+01,    2.3197e-01,    3.1250e-02
1.2355e+01,    2.3386e-01,    3.1250e-02
1.2469e+01,    2.3577e-01,    3.1250e-02
1.2584e+01,    2.3768e-01,    3.1250e-02
1.2701e+01,    2.3961e-01,    3.1250e-02
1.2819e+01,    2.4155e-01,    3.1250e-02
1.2937e+01,    2.4350e-01,    3.1250e-02
1.3057e+01,    2.4546e-01,    3.1250e-02
1.3178e+01,    2.4743e-01,    3.1250e-02
1.3300e+01,    2.4942e-01,    3.1250e-02
1.3423e+01,    2.5141e-01,    3.1250e-02
1.3547e+01,    2.5342e-01,    3.1250e-02
1.3673e+01,    2.5543e-01,    3.1250e-02
1.3799e+01,    2.5746e-01,    3.1250e-02
1.3927e+01,    2.5950e-01,    3.1250e-02
1.4056e+01,    2.6155e-01,    3.1250e-02
1.4186e+01,    2.6361e-01,    3.1250e-02
1.4318e+01,    2.6568e-01,    3.1250e-02
1.4450e+01,    2.6776e-01,    3.1250e-02
1.4584e+01,    2.6985e-01,    3.1250e-02
1.4719e+01,    2.7195e-01,    3.1250e-02
1.4855e+01,    2.7406e-01,    3.1250e-02
1.4993e+01,    2.7618e-01,    3.1250e-02
1.5132e+01,    2.7832e-01,    3.1250e-02
1.5272e+01,    2.8046e-01,    3.1250e-02
1.5413e+01,    2.8261e-01,    3.1250e-02
1.5556e+01,    2.8477e-01,    3.1250e-02
1.5700e+01,    2.8695e-01,    3.1250e-02
1.5845e+01,    2.8913e-01,    3.1250e-02
1.5992e+01,    2.9132e-01,    3.1250e-02
1.6140e+01,    2.9352e-01,    3.1250e-02
1.6289e+01,    2.9573e-01,    3.1250e-02
1.6440e+01,    2.9795e-01,    3.1250e-02
1.6592e+01,    3.0018e-01,    3.1250e-02
1.6746e+01,    3.0242e-01,    3.1250e-02
1.6901e+01,    3.0466e-01,    3.1250e-02
1.7058e+01,    3.0692e-01,    3.1250e-02
1.7215e+01,    3.0918e-01,    3.1250e-02
1.7375e+01,    3.1146e-01,    3.1250e-02
1.7536e+01,    3.1374e-01,    3.1250e-02
1.7698e+01,    3.1603e-01,    3.1250e-02
1.7862e+01,    3.1832e-01,    3.1250e-02
1.8027e+01,    3.2063e-01,    3.1250e-02
1.8194e+01,    3.2294e-01,    3.1250e-02
1.8363e+01,    3.2526e-01,    3.1250e-02
1.8533e+01,    3.2759e-01,    3.1250e-02
1.8704e+01,    3.2993e-01,    3.1250e-02
1.8878e+01,    3.3227e-01,    3.1250e-02
1.9052e+01,    3.3462e-01,    3.1250e-02
1.9229e+01,    3.3698e-01,    3.1250e-02
1.9407e+01,    3.3934e-01,    3.1250e-02
1.9586e+01,    3.4171e-01,    3.1250e-02
1.9768e+01,    3.4409e-01,    3.1250e-02
1.9951e+01,    3.4647e-01,    3.1250e-02
2.0135e+01,    3.4886e-01,    3.1250e-02
2.0322e+01,    3.5125e-01,    3.1250e-02
2.0510e+01,    3.5365e-01,    3.1250e-02
2.0700e+01,    3.5606e-01,    3.1250e-02
2.0892e+01,    3.5847e-01,    3.1250e-02
2.1085e+01,    3.6089e-01,    3.1250e-02
2.1280e+01,    3.6331e-01,    3.1250e-02
2.1477e+01,    3.6573e-01,    3.1250e-02
2.1676e+01,    3.6816e-01,    3.1250e-02
2.1877e+01,    3.7060e-01,    3.1250e-02
2.2079e+01,    3.7303e-01,    3.1250e-02
2.2284e+01,    3.7548e-01,    3.1250e-02
2.2490e+01,    3.7792e-01,    3.1250e-02
