# Force βfL, Extension z/L, Persistence Length λ
5.1565e-01,    2.0133e-02,    6.2500e-02
5.2043e-01,    2.0320e-02,    6.2500e-02
5.2525e-01,    2.0508e-02,    6.2500e-02
5.3011e-01,    2.0697e-02,    6.2500e-02
5.3502e-01,    2.0889e-02,    6.2500e-02
5.3997e-01,    2.1082e-02,    6.2500e-02
5.4497e-01,    2.1277e-02,    6.2500e-02
5.5001e-01,    2.1474e-02,    6.2500e-02
5.5511e-01,    2.1672e-02,    6.2500e-02
5.6025e-01,    2.1873e-02,    6.2500e-02
5.6543e-01,    2.2075e-02,    6.2500e-02
5.7067e-01,    2.2279e-02,    6.2500e-02
5.7595e-01,    2.2485e-02,    6.2500e-02
5.8129e-01,    2.2693e-02,    6.2500e-02
5.8667e-01,    2.2903e-02,    6.2500e-02
5.9210e-01,    2.3115e-02,    6.2500e-02
5.9758e-01,    2.3329e-02,    6.2500e-02
6.0311e-01,    2.3544e-02,    6.2500e-02
6.0870e-01,    2.3762e-02,    6.2500e-02
6.1433e-01,    2.3982e-02,    6.2500e-02
6.2002e-01,    2.4204e-02,    6.2500e-02
6.2576e-01,    2.4427e-02,    6.2500e-02
6.3156e-01,    2.4653e-02,    6.2500e-02
6.3740e-01,    2.4881e-02,    6.2500e-02
6.4331e-01,    2.5111e-02,    6.2500e-02
6.4926e-01,    2.5343e-02,    6.2500e-02
6.5527e-01,    2.5578e-02,    6.2500e-02
6.6134e-01,    2.5814e-02,    6.2500e-02
6.6746e-01,    2.6053e-02,    6.2500e-02
6.7364e-01,    2.6294e-02,    6.2500e-02
6.7988e-01,    2.6537e-02,    6.2500e-02
6.8617e-01,    2.6782e-02,    6.2500e-02
6.9253e-01,    2.7030e-02,    6.2500e-02
6.9894e-01,    2.7279e-02,    6.2500e-02
7.0541e-01,    2.7532e-02,    6.2500e-02
7.1194e-01,    2.7786e-02,    6.2500e-02
7.1853e-01,    2.8043e-02,    6.2500e-02
7.2519e-01,    2.8302e-02,    6.2500e-02
7.3190e-01,    2.8564e-02,    6.2500e-02
7.3868e-01,    2.8828e-02,    6.2500e-02
7.4552e-01,    2.9094e-02,    6.2500e-02
7.5242e-01,    2.9363e-02,    6.2500e-02
7.5939e-01,    2.9634e-02,    6.2500e-02
7.6642e-01,    2.9908e-02,    6.2500e-02
7.7351e-01,    3.0184e-02,    6.2500e-02
7.8067e-01,    3.0463e-02,    6.2500e-02
7.8790e-01,    3.0745e-02,    6.2500e-02
7.9520e-01,    3.1029e-02,    6.2500e-02
8.0256e-01,    3.1315e-02,    6.2500e-02
8.0999e-01,    3.1605e-02,    6.2500e-02
8.1749e-01,    3.1897e-02,    6.2500e-02
8.2506e-01,    3.2191e-02,    6.2500e-02
8.3270e-01,    3.2489e-02,    6.2500e-02
8.4041e-01,    3.2789e-02,    6.2500e-02
8.4819e-01,    3.3091e-02,    6.2500e-02
8.5604e-01,    3.3397e-02,    6.2500e-02
8.6397e-01,    3.3706e-02,    6.2500e-02
8.7197e-01,    3.4017e-02,    6.2500e-02
8.8004e-01,    3.4331e-02,    6.2500e-02
8.8819e-01,    3.4648e-02,    6.2500e-02
8.9641e-01,    3.4968e-02,    6.2500e-02
9.0471e-01,    3.5291e-02,    6.2500e-02
9.1309e-01,    3.5617e-02,    6.2500e-02
9.2154e-01,    3.5945e-02,    6.2500e-02
9.3007e-01,    3.6277e-02,    6.2500e-02
9.3868e-01,    3.6612e-02,    6.2500e-02
9.4738e-01,    3.6950e-02,    6.2500e-02
9.5615e-01,    3.7291e-02,    6.2500e-02
9.6500e-01,    3.7635e-02,    6.2500e-02
9.7393e-01,    3.7983e-02,    6.2500e-02
9.8295e-01,    3.8333e-02,    6.2500e-02
9.9205e-01,    3.8687e-02,    6.2500e-02
1.0012e+00,    3.9044e-02,    6.2500e-02
1.0105e+00,    3.9404e-02,    6.2500e-02
1.0199e+00,    3.9768e-02,    6.2500e-02
1.0293e+00,    4.0134e-02,    6.2500e-02
1.0388e+00,    4.0505e-02,    6.2500e-02
1.0485e+00,    4.0878e-02,    6.2500e-02
1.0582e+00,    4.1255e-02,    6.2500e-02
1.0680e+00,    4.1636e-02,    6.2500e-02
1.0778e+00,    4.2020e-02,    6.2500e-02
1.0878e+00,    4.2407e-02,    6.2500e-02
1.0979e+00,    4.2798e-02,    6.2500e-02
